A48|King's Indian|Torre attack|d4 Nf6 Nf3 g6 Bg5 
A48|King's Indian|London system|d4 Nf6 Nf3 g6 Bf4 
A49|King's Indian|fianchetto without c4|d4 Nf6 Nf3 g6 g3 
A50|Queen's pawn game||d4 Nf6 c4 
A50|Kevitz-Trajkovich defence||d4 Nf6 c4 Nc6 
A50|Queen's Indian accelerated||d4 Nf6 c4 b6 
A51|Budapest defence declined||d4 Nf6 c4 e5 
A51|Budapest|Fajarowicz variation|d4 Nf6 c4 e5 dxe5 Ne4 
A51|Budapest|Fajarowicz, Steiner variation|d4 Nf6 c4 e5 dxe5 Ne4 Qc2 
A52|Budapest defence||d4 Nf6 c4 e5 dxe5 Ng4 
A52|Budapest|Adler variation|d4 Nf6 c4 e5 dxe5 Ng4 Nf3 
A52|Budapest|Rubinstein variation|d4 Nf6 c4 e5 dxe5 Ng4 Bf4 
A52|Budapest|Alekhine variation|d4 Nf6 c4 e5 dxe5 Ng4 e4 
A52|Budapest|Alekhine, Abonyi variation|d4 Nf6 c4 e5 dxe5 Ng4 e4 Nxe5 f4 Nec6 
A52|Budapest|Alekhine variation, Balogh gambit|d4 Nf6 c4 e5 dxe5 Ng4 e4 d6 
A53|Old Indian defence||d4 Nf6 c4 d6 
A53|Old Indian|Janowski variation|d4 Nf6 c4 d6 Nc3 Bf5 
A54|Old Indian|Ukrainian variation|d4 Nf6 c4 d6 Nc3 e5 
A54|Old Indian|Dus-Khotimirsky variation|d4 Nf6 c4 d6 Nc3 e5 e3 Nbd7 Bd3 
A54|Old Indian|Ukrainian variation, 4.Nf3|d4 Nf6 c4 d6 Nc3 e5 Nf3 
A55|Old Indian|main line|d4 Nf6 c4 d6 Nc3 e5 Nf3 Nbd7 e4 
A56|Benoni defence||d4 Nf6 c4 c5 
A56|Benoni defence, Hromodka system||d4 Nf6 c4 c5 d5 d6 
A56|Vulture defence||d4 Nf6 c4 c5 d5 Ne4 
A56|Czech Benoni defence||d4 Nf6 c4 c5 d5 e5 
A56|Czech Benoni|King's Indian system|d4 Nf6 c4 c5 d5 e5 Nc3 d6 e4 g6 
A57|Benko gambit||d4 Nf6 c4 c5 d5 b5 
A57|Benko gambit half accepted||d4 Nf6 c4 c5 d5 b5 cxb5 a6 
A57|Benko gambit|Zaitsev system|d4 Nf6 c4 c5 d5 b5 cxb5 a6 Nc3 
A57|Benko gambit|Nescafe Frappe attack|d4 Nf6 c4 c5 d5 b5 cxb5 a6 Nc3 axb5 e4 b4 Nb5 d6 Bc4 
A58|Benko gambit accepted||d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 
